Year,Quarter,Month,Day,item_name,Sum of item_price,Sum of order_id,item_type,received_by,time_of_sale,Sum of transaction_amount,transaction_type,Sum of quantity
2022,Qtr 2,April,24,Panipuri,20,122,Fastfood,Mrs.,Night,60,Cash,3
2022,Qtr 2,April,24,Vadapav,20,462,Fastfood,Mr.,Morning,60,Cash,3
2022,Qtr 2,April,24,Vadapav,20,378,Fastfood,Mrs.,Midnight,40,Cash,2
2022,Qtr 2,April,25,Vadapav,20,310,Fastfood,Mr.,Afternoon,80,Cash,4
2022,Qtr 2,April,25,Vadapav,20,385,Fastfood,Mr.,Morning,100,Cash,5
2022,Qtr 2,April,26,Cold coffee,40,190,Beverages,Mr.,Evening,40,Online,1
2022,Qtr 2,April,26,Cold coffee,40,636,Beverages,Mr.,Morning,480,Cash,12
2022,Qtr 2,April,26,Cold coffee,40,596,Beverages,Mrs.,Night,40,Online,1
2022,Qtr 2,April,26,Vadapav,20,238,Fastfood,Mr.,Morning,260,Cash,13
2022,Qtr 2,April,27,Panipuri,20,579,Fastfood,Mr.,Evening,40,Cash,2
2022,Qtr 2,April,27,Panipuri,20,483,Fastfood,Mrs.,Morning,180,Cash,9
2022,Qtr 2,April,28,Aalopuri,20,801,Fastfood,Mrs.,Evening,140,Cash,7
2022,Qtr 2,April,29,Aalopuri,20,783,Fastfood,Mr.,Morning,160,Cash,8
2022,Qtr 2,April,30,Frankie,50,956,Fastfood,Mr.,Morning,650,Online,13
2022,Qtr 2,April,30,Sandwich,60,297,Fastfood,Mr.,Evening,600,Online,10
2022,Qtr 2,April,30,Sugarcane juice,25,986,Beverages,Mr.,Night,325,Online,13
2022,Qtr 2,April,30,Vadapav,20,255,Fastfood,Mrs.,Afternoon,140,Cash,7
2022,Qtr 2,May,1,Aalopuri,20,524,Fastfood,Mr.,Afternoon,260,Online,13
2022,Qtr 2,May,2,Cold coffee,40,628,Beverages,Mrs.,Night,400,Cash,10
2022,Qtr 2,May,3,Panipuri,20,290,Fastfood,Mrs.,Morning,140,Cash,7
2022,Qtr 2,May,3,Sandwich,60,326,Fastfood,Mr.,Evening,480,Cash,8
2022,Qtr 2,May,3,Sugarcane juice,25,7,Beverages,Mr.,Evening,225,Cash,9
2022,Qtr 2,May,3,Vadapav,20,271,Fastfood,Mr.,Evening,260,Cash,13
2022,Qtr 2,May,4,Aalopuri,20,856,Fastfood,Mrs.,Night,220,Cash,11
2022,Qtr 2,May,4,Frankie,50,676,Fastfood,Mrs.,Evening,350,Cash,7
2022,Qtr 2,May,4,Sugarcane juice,25,844,Beverages,Mr.,Morning,325,Cash,13
2022,Qtr 2,May,4,Vadapav,20,525,Fastfood,Mr.,Midnight,60,Cash,3
2022,Qtr 2,May,5,Cold coffee,40,322,Beverages,Mr.,Morning,440,Cash,11
2022,Qtr 2,May,5,Cold coffee,40,212,Beverages,Mrs.,Morning,480,Online,12
2022,Qtr 2,May,5,Sugarcane juice,25,697,Beverages,Mr.,Midnight,125,Cash,5
2022,Qtr 2,May,5,Sugarcane juice,25,852,Beverages,Mr.,Night,200,Online,8
2022,Qtr 2,May,6,Aalopuri,20,32,Fastfood,Mr.,Morning,80,Cash,4
2022,Qtr 2,May,6,Aalopuri,20,665,Fastfood,Mrs.,Evening,280,Online,14
2022,Qtr 2,May,6,Aalopuri,20,383,Fastfood,Mrs.,Morning,140,Online,7
2022,Qtr 2,May,6,Sugarcane juice,25,338,Beverages,Mr.,Morning,300,Cash,12
2022,Qtr 2,May,7,Aalopuri,20,162,Fastfood,Mr.,Midnight,220,Cash,11
2022,Qtr 2,May,7,Cold coffee,40,964,Beverages,Mr.,Evening,320,Cash,8
2022,Qtr 2,May,7,Sandwich,60,55,Fastfood,Mr.,Night,600,Cash,10
2022,Qtr 2,May,7,Vadapav,20,46,Fastfood,Mr.,Evening,140,Cash,7
2022,Qtr 2,May,8,Frankie,50,610,Fastfood,Mrs.,Evening,650,Online,13
2022,Qtr 2,May,8,Panipuri,20,100,Fastfood,Mr.,Morning,220,Cash,11
2022,Qtr 2,May,8,Sandwich,60,435,Fastfood,Mrs.,Afternoon,60,Cash,1
2022,Qtr 2,May,8,Sugarcane juice,25,805,Beverages,Mr.,Afternoon,25,Online,1
2022,Qtr 2,May,8,Sugarcane juice,25,839,Beverages,Mrs.,Afternoon,100,Cash,4
2022,Qtr 2,May,8,Sugarcane juice,25,373,Beverages,Mrs.,Midnight,300,Cash,12
2022,Qtr 2,May,9,Aalopuri,20,42,Fastfood,Mrs.,Night,160,Online,8
2022,Qtr 2,May,9,Cold coffee,40,874,Beverages,Mr.,Midnight,160,Cash,4
2022,Qtr 2,May,9,Cold coffee,40,70,Beverages,Mrs.,Morning,560,Cash,14
2022,Qtr 2,May,9,Cold coffee,40,642,Beverages,Mrs.,Morning,400,Online,10
2022,Qtr 2,May,9,Frankie,50,363,Fastfood,Mr.,Afternoon,450,Online,9
2022,Qtr 2,May,9,Panipuri,20,345,Fastfood,Mrs.,Night,280,Online,14
2022,Qtr 2,May,9,Sugarcane juice,25,873,Beverages,Mr.,Night,25,Online,1
2022,Qtr 2,May,9,Vadapav,20,719,Fastfood,Mrs.,Midnight,300,Cash,15
2022,Qtr 2,May,10,Frankie,50,720,Fastfood,Mrs.,Morning,700,Cash,14
2022,Qtr 2,May,11,Aalopuri,20,668,Fastfood,Mr.,Morning,80,Online,4
2022,Qtr 2,May,12,Aalopuri,20,944,Fastfood,Mr.,Midnight,40,Cash,2
2022,Qtr 2,May,12,Aalopuri,20,582,Fastfood,Mr.,Morning,260,Cash,13
2022,Qtr 2,May,12,Panipuri,20,119,Fastfood,Mr.,Evening,200,Cash,10
2022,Qtr 2,May,12,Sugarcane juice,25,95,Beverages,Mr.,Night,200,Online,8
2022,Qtr 2,May,13,Aalopuri,20,92,Fastfood,Mr.,Afternoon,300,Cash,15
2022,Qtr 2,May,13,Cold coffee,40,344,Beverages,Mr.,Night,560,Cash,14
2022,Qtr 2,May,13,Sugarcane juice,25,220,Beverages,Mr.,Afternoon,25,Cash,1
2022,Qtr 2,May,14,Aalopuri,20,637,Fastfood,Mr.,Midnight,140,Cash,7
2022,Qtr 2,May,14,Cold coffee,40,547,Beverages,Mr.,Morning,400,Online,10
2022,Qtr 2,May,14,Frankie,50,688,Fastfood,Mr.,Afternoon,250,Online,5
2022,Qtr 2,May,14,Vadapav,20,39,Fastfood,Mr.,Evening,40,Online,2
2022,Qtr 2,May,15,Aalopuri,20,67,Fastfood,Mr.,Midnight,180,Cash,9
2022,Qtr 2,May,15,Aalopuri,20,529,Fastfood,Mrs.,Afternoon,240,Cash,12
2022,Qtr 2,May,15,Cold coffee,40,945,Beverages,Mrs.,Afternoon,80,Online,2
2022,Qtr 2,May,15,Sandwich,60,469,Fastfood,Mrs.,Morning,420,Online,7
2022,Qtr 2,May,15,Vadapav,20,917,Fastfood,Mr.,Evening,300,Online,15
2022,Qtr 2,May,16,Aalopuri,20,158,Fastfood,Mr.,Midnight,40,Cash,2
2022,Qtr 2,May,16,Frankie,50,51,Fastfood,Mrs.,Morning,750,Online,15
2022,Qtr 2,May,16,Vadapav,20,282,Fastfood,Mrs.,Morning,260,Cash,13
2022,Qtr 2,May,16,Vadapav,20,534,Fastfood,Mrs.,Night,40,Online,2
2022,Qtr 2,May,17,Panipuri,20,147,Fastfood,Mr.,Evening,140,Online,7
2022,Qtr 2,May,18,Frankie,50,962,Fastfood,Mrs.,Afternoon,650,Online,13
2022,Qtr 2,May,18,Vadapav,20,353,Fastfood,Mrs.,Midnight,80,Online,4
2022,Qtr 2,May,19,Aalopuri,20,837,Fastfood,Mr.,Midnight,140,Cash,7
2022,Qtr 2,May,19,Cold coffee,40,677,Beverages,Mrs.,Morning,120,Online,3
2022,Qtr 2,May,20,Aalopuri,20,685,Fastfood,Mrs.,Afternoon,60,Cash,3
2022,Qtr 2,May,20,Sugarcane juice,25,450,Beverages,Mr.,Morning,25,Online,1
2022,Qtr 2,May,20,Sugarcane juice,25,377,Beverages,Mrs.,Evening,75,Online,3
2022,Qtr 2,May,20,Sugarcane juice,25,191,Beverages,Mrs.,Morning,350,Cash,14
2022,Qtr 2,May,21,Aalopuri,20,817,Fastfood,Mrs.,Evening,240,Cash,12
2022,Qtr 2,May,21,Aalopuri,20,979,Fastfood,Mrs.,Midnight,260,Cash,13
2022,Qtr 2,May,21,Cold coffee,40,652,Beverages,Mrs.,Afternoon,520,Online,13
2022,Qtr 2,May,21,Sandwich,60,427,Fastfood,Mr.,Afternoon,120,Online,2
2022,Qtr 2,May,22,Frankie,50,798,Fastfood,Mr.,Night,600,Cash,12
2022,Qtr 2,May,22,Sandwich,60,586,Fastfood,Mr.,Night,900,Online,15
2022,Qtr 2,May,22,Sandwich,60,958,Fastfood,Mrs.,Night,660,Online,11
2022,Qtr 2,May,22,Vadapav,20,35,Fastfood,Mr.,Morning,160,Cash,8
2022,Qtr 2,May,23,Aalopuri,20,678,Fastfood,Mr.,Evening,60,Online,3
2022,Qtr 2,May,23,Vadapav,20,806,Fastfood,Mr.,Evening,60,Online,3
2022,Qtr 2,May,24,Cold coffee,40,633,Beverages,Mr.,Evening,120,Online,3
2022,Qtr 2,May,24,Frankie,50,80,Fastfood,Mr.,Evening,650,Cash,13
2022,Qtr 2,May,25,Frankie,50,352,Fastfood,Mrs.,Night,550,Cash,11
2022,Qtr 2,May,25,Panipuri,20,842,Fastfood,Mrs.,Evening,40,Cash,2
2022,Qtr 2,May,25,Sandwich,60,881,Fastfood,Mr.,Midnight,120,Cash,2
2022,Qtr 2,May,25,Sugarcane juice,25,834,Beverages,Mr.,Evening,350,Cash,14
2022,Qtr 2,May,26,Sandwich,60,23,Fastfood,Mr.,Midnight,180,Online,3
2022,Qtr 2,May,26,Sugarcane juice,25,356,Beverages,Mrs.,Night,350,Cash,14
2022,Qtr 2,May,26,Vadapav,20,43,Fastfood,Mr.,Night,20,Cash,1
2022,Qtr 2,May,27,Aalopuri,20,781,Fastfood,Mr.,Midnight,200,Online,10
2022,Qtr 2,May,27,Frankie,50,630,Fastfood,Mrs.,Morning,350,Cash,7
2022,Qtr 2,May,27,Panipuri,20,433,Fastfood,Mrs.,Evening,280,Online,14
2022,Qtr 2,May,27,Sandwich,60,648,Fastfood,Mr.,Night,420,Cash,7
2022,Qtr 2,May,27,Sandwich,60,487,Fastfood,Mrs.,Midnight,540,Cash,9
2022,Qtr 2,May,27,Vadapav,20,540,Fastfood,Mr.,Afternoon,260,Cash,13
2022,Qtr 2,May,28,Panipuri,20,370,Fastfood,Mrs.,Midnight,100,Cash,5
2022,Qtr 2,May,28,Vadapav,20,304,Fastfood,Mr.,Morning,300,Online,15
2022,Qtr 2,May,29,Aalopuri,20,87,Fastfood,Mr.,Night,160,Cash,8
2022,Qtr 2,May,29,Aalopuri,20,1000,Fastfood,Mrs.,Midnight,60,Online,3
2022,Qtr 2,May,30,Cold coffee,40,923,Beverages,Mr.,Morning,120,Online,3
2022,Qtr 2,May,30,Frankie,50,653,Fastfood,Mrs.,Midnight,500,Online,10
2022,Qtr 2,May,31,Frankie,50,583,Fastfood,Mr.,Night,400,Cash,8
2022,Qtr 2,May,31,Vadapav,20,491,Fastfood,Mrs.,Midnight,40,Online,2
2022,Qtr 2,June,1,Panipuri,20,166,Fastfood,Mrs.,Evening,120,Cash,6
2022,Qtr 2,June,2,Cold coffee,40,340,Beverages,Mrs.,Evening,160,Cash,4
2022,Qtr 2,June,4,Panipuri,20,752,Fastfood,Mrs.,Morning,40,Online,2
2022,Qtr 2,June,5,Panipuri,20,538,Fastfood,Mr.,Morning,140,Online,7
2022,Qtr 2,June,5,Vadapav,20,647,Fastfood,Mr.,Afternoon,60,Cash,3
2022,Qtr 2,June,6,Aalopuri,20,739,Fastfood,Mr.,Night,220,Online,11
2022,Qtr 2,June,6,Frankie,50,929,Fastfood,Mrs.,Night,450,Online,9
2022,Qtr 2,June,6,Sugarcane juice,25,241,Beverages,Mr.,Afternoon,50,Cash,2
2022,Qtr 2,June,6,Sugarcane juice,25,832,Beverages,Mr.,Morning,100,Cash,4
2022,Qtr 2,June,7,Frankie,50,769,Fastfood,Mr.,Morning,400,Cash,8
2022,Qtr 2,June,7,Sugarcane juice,25,973,Beverages,Mrs.,Morning,25,Cash,1
2022,Qtr 2,June,8,Vadapav,20,459,Fastfood,Mr.,Night,280,Cash,14
2022,Qtr 2,June,9,Cold coffee,40,123,Beverages,Mr.,Evening,240,Online,6
2022,Qtr 2,June,9,Cold coffee,40,181,Beverages,Mrs.,Night,280,Cash,7
2022,Qtr 2,June,10,Cold coffee,40,876,Beverages,Mrs.,Evening,320,Online,8
2022,Qtr 2,June,10,Panipuri,20,9,Fastfood,Mrs.,Morning,20,Cash,1
2022,Qtr 2,June,10,Vadapav,20,613,Fastfood,Mrs.,Night,100,Online,5
2022,Qtr 2,June,11,Cold coffee,40,60,Beverages,Mr.,Night,80,Online,2
2022,Qtr 2,June,11,Frankie,50,778,Fastfood,Mr.,Evening,650,Cash,13
2022,Qtr 2,June,11,Sandwich,60,463,Fastfood,Mr.,Midnight,360,Online,6
2022,Qtr 2,June,12,Frankie,50,140,Fastfood,Mr.,Night,650,Cash,13
2022,Qtr 2,June,13,Frankie,50,922,Fastfood,Mrs.,Evening,250,Online,5
2022,Qtr 2,June,13,Frankie,50,807,Fastfood,Mrs.,Midnight,50,Online,1
2022,Qtr 2,June,13,Panipuri,40,1293,Fastfood,Mrs.,Midnight,160,Cash,8
2022,Qtr 2,June,14,Frankie,50,985,Fastfood,Mrs.,Afternoon,50,Cash,1
2022,Qtr 2,June,15,Aalopuri,20,141,Fastfood,Mr.,Evening,80,Cash,4
2022,Qtr 2,June,15,Sandwich,60,765,Fastfood,Mr.,Night,780,Cash,13
2022,Qtr 2,June,16,Frankie,50,498,Fastfood,Mr.,Midnight,50,Cash,1
2022,Qtr 2,June,16,Frankie,50,588,Fastfood,Mrs.,Morning,550,Cash,11
2022,Qtr 2,June,16,Vadapav,20,328,Fastfood,Mr.,Evening,60,Online,3
2022,Qtr 2,June,17,Panipuri,20,822,Fastfood,Mr.,Morning,240,Online,12
2022,Qtr 2,June,17,Sandwich,60,625,Fastfood,Mr.,Morning,900,Online,15
2022,Qtr 2,June,18,Sugarcane juice,25,253,Beverages,Mr.,Afternoon,325,Online,13
2022,Qtr 2,June,18,Sugarcane juice,25,390,Beverages,Mr.,Midnight,125,Cash,5
2022,Qtr 2,June,18,Sugarcane juice,25,995,Beverages,Mr.,Night,25,Online,1
2022,Qtr 2,June,19,Frankie,50,278,Fastfood,Mrs.,Night,300,Online,6
2022,Qtr 2,June,19,Panipuri,20,263,Fastfood,Mr.,Evening,40,Cash,2
2022,Qtr 2,June,19,Sandwich,60,766,Fastfood,Mrs.,Morning,600,Online,10
2022,Qtr 2,June,20,Cold coffee,40,438,Beverages,Mr.,Morning,200,Online,5
2022,Qtr 2,June,20,Vadapav,20,169,Fastfood,Mr.,Morning,120,Cash,6
2022,Qtr 2,June,20,Vadapav,20,980,Fastfood,Mr.,Morning,180,Online,9
2022,Qtr 2,June,22,Panipuri,20,937,Fastfood,Mr.,Night,80,Cash,4
2022,Qtr 2,June,22,Sugarcane juice,25,627,Beverages,Mr.,Afternoon,375,Online,15
2022,Qtr 2,June,24,Frankie,50,347,Fastfood,Mrs.,Afternoon,350,Cash,7
2022,Qtr 2,June,24,Panipuri,20,399,Fastfood,Mrs.,Evening,180,Cash,9
2022,Qtr 2,June,25,Aalopuri,20,611,Fastfood,Mrs.,Morning,40,Online,2
2022,Qtr 2,June,25,Frankie,50,744,Fastfood,Mrs.,Morning,500,Cash,10
2022,Qtr 2,June,25,Sandwich,60,196,Fastfood,Mr.,Evening,180,Cash,3
2022,Qtr 2,June,25,Sugarcane juice,25,796,Beverages,Mr.,Night,350,Online,14
2022,Qtr 2,June,25,Sugarcane juice,25,880,Beverages,Mrs.,Morning,125,Cash,5
2022,Qtr 2,June,26,Aalopuri,20,931,Fastfood,Mr.,Afternoon,300,Cash,15
2022,Qtr 2,June,26,Panipuri,20,869,Fastfood,Mr.,Midnight,180,Online,9
2022,Qtr 2,June,26,Sugarcane juice,25,753,Beverages,Mr.,Midnight,25,Cash,1
2022,Qtr 2,June,26,Vadapav,20,236,Fastfood,Mrs.,Evening,240,Cash,12
2022,Qtr 2,June,27,Aalopuri,20,300,Fastfood,Mr.,Afternoon,160,Cash,8
2022,Qtr 2,June,27,Frankie,50,724,Fastfood,Mrs.,Night,500,Cash,10
2022,Qtr 2,June,28,Aalopuri,20,285,Fastfood,Mr.,Night,60,Cash,3
2022,Qtr 2,June,28,Frankie,50,730,Fastfood,Mrs.,Afternoon,650,Cash,13
2022,Qtr 2,June,28,Sugarcane juice,25,617,Beverages,Mr.,Night,50,Cash,2
2022,Qtr 2,June,29,Cold coffee,40,967,Beverages,Mr.,Afternoon,560,Cash,14
2022,Qtr 2,June,30,Frankie,50,319,Fastfood,Mr.,Afternoon,750,Cash,15
2022,Qtr 2,June,30,Frankie,50,578,Fastfood,Mrs.,Night,250,Online,5
2022,Qtr 2,June,30,Panipuri,20,201,Fastfood,Mr.,Morning,160,Cash,8
2022,Qtr 2,June,30,Sandwich,60,557,Fastfood,Mrs.,Evening,120,Cash,2
2022,Qtr 2,June,30,Sandwich,60,361,Fastfood,Mrs.,Night,900,Cash,15
2022,Qtr 2,June,30,Sugarcane juice,25,655,Beverages,Mr.,Morning,300,Online,12
2022,Qtr 2,June,30,Vadapav,20,943,Fastfood,Mrs.,Night,120,Cash,6
2022,Qtr 3,July,1,Cold coffee,40,631,Beverages,Mrs.,Evening,520,Cash,13
2022,Qtr 3,July,1,Cold coffee,40,845,Beverages,Mrs.,Evening,240,Online,6
2022,Qtr 3,July,1,Panipuri,20,580,Fastfood,Mr.,Night,200,Online,10
2022,Qtr 3,July,1,Sugarcane juice,25,528,Beverages,Mrs.,Midnight,175,Cash,7
2022,Qtr 3,July,1,Vadapav,20,59,Fastfood,Mr.,Morning,100,Cash,5
2022,Qtr 3,July,2,Cold coffee,40,36,Beverages,Mr.,Afternoon,400,Online,10
2022,Qtr 3,July,2,Cold coffee,40,182,Beverages,Mr.,Midnight,40,Cash,1
2022,Qtr 3,July,2,Panipuri,20,517,Fastfood,Mr.,Evening,260,Online,13
2022,Qtr 3,July,2,Panipuri,20,283,Fastfood,Mrs.,Midnight,40,Cash,2
2022,Qtr 3,July,2,Sugarcane juice,25,393,Beverages,Mrs.,Evening,250,Online,10
2022,Qtr 3,July,2,Sugarcane juice,25,303,Beverages,Mrs.,Midnight,25,Cash,1
2022,Qtr 3,July,3,Aalopuri,20,1,Fastfood,Mr.,Night,260,Cash,13
2022,Qtr 3,July,3,Cold coffee,40,93,Beverages,Mrs.,Midnight,80,Online,2
2022,Qtr 3,July,3,Sandwich,60,369,Fastfood,Mrs.,Evening,120,Online,2
2022,Qtr 3,July,4,Sandwich,60,526,Fastfood,Mrs.,Evening,600,Cash,10
2022,Qtr 3,July,4,Sugarcane juice,25,843,Beverages,Mrs.,Morning,25,Cash,1
2022,Qtr 3,July,4,Vadapav,20,725,Fastfood,Mrs.,Afternoon,120,Online,6
2022,Qtr 3,July,4,Vadapav,20,763,Fastfood,Mrs.,Night,280,Cash,14
2022,Qtr 3,July,5,Panipuri,20,670,Fastfood,Mr.,Night,300,Cash,15
2022,Qtr 3,July,6,Aalopuri,20,397,Fastfood,Mrs.,Afternoon,40,Online,2
2022,Qtr 3,July,6,Sandwich,60,118,Fastfood,Mr.,Midnight,60,Online,1
2022,Qtr 3,July,7,Cold coffee,40,88,Beverages,Mr.,Evening,400,Cash,10
2022,Qtr 3,July,8,Frankie,50,351,Fastfood,Mrs.,Night,250,Online,5
2022,Qtr 3,July,8,Panipuri,20,365,Fastfood,Mr.,Night,200,Online,10
2022,Qtr 3,July,9,Aalopuri,20,546,Fastfood,Mrs.,Midnight,20,Cash,1
2022,Qtr 3,July,9,Vadapav,20,784,Fastfood,Mrs.,Morning,160,Cash,8
2022,Qtr 3,July,10,Frankie,50,120,Fastfood,Mrs.,Evening,100,Cash,2
2022,Qtr 3,July,10,Frankie,50,151,Fastfood,Mrs.,Morning,650,Online,13
2022,Qtr 3,July,10,Sandwich,60,47,Fastfood,Mr.,Morning,420,Cash,7
2022,Qtr 3,July,10,Sugarcane juice,25,183,Beverages,Mrs.,Midnight,125,Cash,5
2022,Qtr 3,July,11,Sandwich,60,492,Fastfood,Mr.,Afternoon,900,Cash,15
2022,Qtr 3,July,11,Sandwich,60,651,Fastfood,Mrs.,Midnight,600,Online,10
2022,Qtr 3,July,12,Frankie,50,920,Fastfood,Mr.,Evening,650,Online,13
2022,Qtr 3,July,12,Vadapav,20,12,Fastfood,Mrs.,Night,160,Online,8
2022,Qtr 3,July,13,Sugarcane juice,25,893,Beverages,Mrs.,Afternoon,300,Cash,12
2022,Qtr 3,July,14,Sandwich,60,872,Fastfood,Mr.,Afternoon,720,Cash,12
2022,Qtr 3,July,14,Sugarcane juice,25,892,Beverages,Mrs.,Evening,175,Online,7
2022,Qtr 3,July,15,Vadapav,20,616,Fastfood,Mrs.,Midnight,120,Online,6
2022,Qtr 3,July,16,Aalopuri,20,741,Fastfood,Mr.,Afternoon,100,Online,5
2022,Qtr 3,July,16,Cold coffee,40,860,Beverages,Mr.,Night,200,Cash,5
2022,Qtr 3,July,16,Cold coffee,40,513,Beverages,Mrs.,Night,200,Cash,5
2022,Qtr 3,July,17,Aalopuri,20,134,Fastfood,Mrs.,Night,240,Online,12
2022,Qtr 3,July,17,Frankie,50,82,Fastfood,Mrs.,Evening,150,Online,3
2022,Qtr 3,July,17,Frankie,50,993,Fastfood,Mrs.,Night,150,Online,3
2022,Qtr 3,July,17,Sugarcane juice,25,674,Beverages,Mr.,Morning,325,Cash,13
2022,Qtr 3,July,18,Sugarcane juice,25,264,Beverages,Mr.,Morning,300,Online,12
2022,Qtr 3,July,18,Sugarcane juice,25,324,Beverages,Mrs.,Night,375,Online,15
2022,Qtr 3,July,19,Frankie,50,566,Fastfood,Mr.,Evening,150,Cash,3
2022,Qtr 3,July,19,Sugarcane juice,25,298,Beverages,Mrs.,Afternoon,225,Cash,9
2022,Qtr 3,July,19,Sugarcane juice,25,701,Beverages,Mrs.,Evening,350,Online,14
2022,Qtr 3,July,20,Frankie,50,942,Fastfood,Mr.,Night,300,Cash,6
2022,Qtr 3,July,20,Panipuri,20,790,Fastfood,Mrs.,Evening,60,Cash,3
2022,Qtr 3,July,21,Panipuri,20,153,Fastfood,Mrs.,Evening,20,Cash,1
2022,Qtr 3,July,21,Panipuri,20,177,Fastfood,Mrs.,Morning,220,Online,11
2022,Qtr 3,July,21,Sandwich,60,295,Fastfood,Mr.,Midnight,420,Cash,7
2022,Qtr 3,July,21,Sugarcane juice,25,886,Beverages,Mrs.,Night,100,Cash,4
2022,Qtr 3,July,22,Aalopuri,20,299,Fastfood,Mrs.,Evening,20,Online,1
